    Pressure         n_b          Ye          Yn        Zbar        Abar        mu_e        mu_n
 2.08329E-03   6.82937E-03   3.51475E-02   8.48713E-01   2.30000E+01   9.90000E+01   3.74314E+01   3.69163E+00
 2.10413E-03   6.90770E-03   3.50055E-02   8.49324E-01   2.30000E+01   9.90000E+01   3.75245E+01   3.71326E+00
 2.12517E-03   6.98673E-03   3.48650E-02   8.49929E-01   2.30000E+01   9.90000E+01   3.76178E+01   3.73494E+00
 2.14642E-03   7.06645E-03   3.47261E-02   8.50527E-01   2.30000E+01   9.90000E+01   3.77114E+01   3.75668E+00
 2.16788E-03   7.14688E-03   3.45887E-02   8.51118E-01   2.30000E+01   9.90000E+01   3.78052E+01   3.77847E+00
 2.18956E-03   7.22801E-03   3.44529E-02   8.51703E-01   2.30000E+01   9.90000E+01   3.78992E+01   3.80031E+00
 2.21142E-03   7.30483E-03   3.43268E-02   8.52246E-01   2.30000E+01   9.90000E+01   3.79877E+01   3.82087E+00
 2.23354E-03   7.38734E-03   3.41939E-02   8.52817E-01   2.30000E+01   9.90000E+01   3.80822E+01   3.84282E+00
 2.25587E-03   7.47057E-03   3.40625E-02   8.53383E-01   2.30000E+01   9.90000E+01   3.81769E+01   3.86482E+00
 2.27843E-03   7.55453E-03   3.39326E-02   8.53942E-01   2.30000E+01   9.90000E+01   3.82718E+01   3.88688E+00
 2.30121E-03   7.63921E-03   3.38042E-02   8.54495E-01   2.30000E+01   9.90000E+01   3.83670E+01   3.90900E+00
 2.32423E-03   7.72463E-03   3.36772E-02   8.55042E-01   2.30000E+01   9.90000E+01   3.84624E+01   3.93116E+00
 2.34747E-03   7.81078E-03   3.35516E-02   8.55582E-01   2.30000E+01   9.90000E+01   3.85581E+01   3.95339E+00
 2.37094E-03   7.89768E-03   3.34274E-02   8.56117E-01   2.30000E+01   9.90000E+01   3.86540E+01   3.97566E+00
 2.39465E-03   7.98532E-03   3.33045E-02   8.56646E-01   2.30000E+01   9.90000E+01   3.87501E+01   3.99800E+00
 2.41860E-03   8.07372E-03   3.31831E-02   8.57168E-01   2.30000E+01   9.90000E+01   3.88464E+01   4.02039E+00
 2.44279E-03   8.16287E-03   3.30630E-02   8.57685E-01   2.30000E+01   9.90000E+01   3.89431E+01   4.04283E+00
 2.46721E-03   8.25278E-03   3.29443E-02   8.58196E-01   2.30000E+01   9.90000E+01   3.90399E+01   4.06533E+00
 2.49189E-03   8.34345E-03   3.28268E-02   8.58701E-01   2.29993E+01   9.89971E+01   3.91370E+01   4.08789E+00
 2.51680E-03   8.43717E-03   3.27019E-02   8.58955E-01   2.25606E+01   9.73053E+01   3.92343E+01   4.11049E+00
 2.54197E-03   8.57665E-03   3.24076E-02   8.54227E-01   1.60468E+01   7.21807E+01   3.93319E+01   4.13265E+00
 2.56739E-03   8.66680E-03   3.23073E-02   8.54617E-01   1.60000E+01   7.20000E+01   3.94297E+01   4.15439E+00
 2.59307E-03   8.75718E-03   3.22100E-02   8.55055E-01   1.60000E+01   7.20000E+01   3.95277E+01   4.17618E+00
 2.61900E-03   8.84830E-03   3.21137E-02   8.55488E-01   1.60000E+01   7.20000E+01   3.96260E+01   4.19802E+00
 2.64519E-03   8.94016E-03   3.20184E-02   8.55917E-01   1.60000E+01   7.20000E+01   3.97246E+01   4.21992E+00
 2.67170E-03   9.03234E-03   3.19246E-02   8.56339E-01   1.60000E+01   7.20000E+01   3.98229E+01   4.24178E+00
 2.69841E-03   9.12568E-03   3.18315E-02   8.56758E-01   1.60000E+01   7.20000E+01   3.99220E+01   4.26379E+00
 2.72540E-03   9.21977E-03   3.17393E-02   8.57173E-01   1.60000E+01   7.20000E+01   4.00212E+01   4.28585E+00
 2.75265E-03   9.31402E-03   3.16486E-02   8.57576E-01   1.60000E+01   7.20024E+01   4.01201E+01   4.30782E+00
 2.78018E-03   9.41177E-03   3.15512E-02   8.57769E-01   1.60000E+01   7.21271E+01   4.02198E+01   4.32998E+00
 2.80798E-03   9.53298E-03   3.13801E-02   8.55701E-01   1.60000E+01   7.35749E+01   4.03199E+01   4.35198E+00
 2.83606E-03   9.63547E-03   3.12756E-02   8.55370E-01   1.60000E+01   7.39896E+01   4.04201E+01   4.37369E+00
 2.86442E-03   9.73137E-03   3.11961E-02   8.55718E-01   1.60000E+01   7.39998E+01   4.05206E+01   4.39542E+00
 2.89322E-03   9.82724E-03   3.11185E-02   8.56077E-01   1.60000E+01   7.40000E+01   4.06208E+01   4.41707E+00
 2.92214E-03   9.89824E-03   3.10620E-02   8.56338E-01   1.60000E+01   7.40000E+01   4.06946E+01   4.43304E+00
 2.95136E-03   9.99595E-03   3.09854E-02   8.56692E-01   1.60000E+01   7.40000E+01   4.07957E+01   4.45490E+00
 2.98087E-03   1.00945E-02   3.09096E-02   8.57038E-01   1.59992E+01   7.39992E+01   4.08971E+01   4.47683E+00
 3.01068E-03   1.02304E-02   3.07240E-02   8.54058E-01   1.54663E+01   7.34663E+01   4.09987E+01   4.49870E+00
 3.04079E-03   1.03614E-02   3.05594E-02   8.51282E-01   1.50006E+01   7.30006E+01   4.11006E+01   4.51973E+00
